# widthSeld, typeSel, A0_8, A1_8, A2_8, A3_8, B0_8, B1_8, B2_8, B3_8, C0_8, A0_16, A1_16, A2_16, A3_16, B0_16, B1_16, B2_16, B3_16, C0_16, A0_32, A1_32, A2_32, A3_32, B0_32, B1_32, B2_32, B3_32, C0_32  
1 0 0D BE 54 65 6E 48 DC 43 B3 E1C B8B1 79EA 13A6 9EE9 A497 116E 54AF 9492 894A469D F4885F66 691B82BB 2FC6000 D4211520 9F692446 EAF1FDBD E5654DAE 2FB1C41D
2 0 02 1B 38 93 F5 1B D4 81 06 C111 7D4F 83DD ABFC 80CE 80CD 982D E97A A401 2515A59E 7E5DAC08 3107E8CE A7573525 A92C42F4 29C51536 7F7D360C 3F19666 46EECC0E
2 1 DF 62 58 F8 C9 DF 87 94 C3 66F3 428B 9749 FDFA EDE5 A49C 19AF 82F9 9FCF 65CB4AE5 18F344B5 AAD7FD52 A6F7DF3B 6822970 C6CE792C 216FF34 6BD9C1C9 87E3C509
1 1 36 17 8A AF DD 0B 37 A0 AC 4253 DD09 4AFB C21D BAA7 283E B4FC 6061 D9FE D149F98A C3D4B905 237E0E57 F8B759B0 AD6E0494 A297E25C 3C10D4DD 890F06F3 762C6D59
0 0 D1 05 2F 65 14 9E 52 FB C2 D311 C9A 45B9 316 BB5E 3985 B7A3 739E D5E0 49FA324D FF48F7B1 1CB48C1D 8000975A 90B9124E 39A709E8 8BCB9C54 2F9E1C82 61797F9C
1 0 5E 9B E3 2C 14 81 1C D8 A9 9376 B0AE A20E 6482 7FA1 841C 6D50 89A6 A0C8 6546184A 8AB7F424 4C48C58B 5025DF6D A0326087 3E5749B2 5EE9D8AC 2C48BB14 2460C926
0 0 C2 4B 51 C0 DA EF 67 B1 29 A8DA 1C66 6852 ED18 1DA5 A85E 18F6 6021 B52C 6540821A 6302C4AE C705B5D3 322D78E0 3D4DEC51 CF484827 D4047685 8D6F8C0 798039E7
1 1 06 D6 CD 74 19 AD 11 EA 77 9355 E75B 6BF2 FB7E B70A 66E1 940C B946 2AD2 74CDBF0D AE891913 8E6D9567 94AB72CB 4D99D739 5F5C93C0 23BC77E7 FEBFCAB3 92BD81B0
1 1 6B E7 A1 96 21 A6 16 8B 97 EB7F E681 9FAB 4991 415F F9C1 294 E4FE 835D 68215B56 DAECD925 932F181F 8732346C 61BD4BAA AFCBB3 BCA07569 57A7EDCD 688B8E90
1 0 6F 61 49 96 57 9B A1 5F BC 39B2 80A2 33EA 3021 8F24 C975 B364 C7A9 E241 BCAE2171 8B7F2AA9 C67F7E34 7D3335A3 A5382A4B 6A81528 EB32AE5B D3DEE20 FFCCB7A9
2 0 74 FD 08 B3 F4 01 F1 37 5F 73BF 6614 1445 7621 E675 DE63 C6BD C0C6 9F0 D7A5CA0B 9B292D94 5144A177 3649171A 773AD4CC 13B1C429 3AC7AB3F 20E25068 FC5C250A
1 0 7F 7C 6B D1 F1 91 09 07 72 F9A0 64D5 4A31 346A 9AB7 97CE 302A 55D5 4A3 2FC20840 455D6123 C84030C9 98BA50A 9A6B6515 9D818C1D 3B5A5472 B9E59493 AF741FDC
2 0 FD E8 FD F7 F9 23 0D 46 1F C9EE 50EA 330F 1E53 781E F4B5 97C7 A3F1 213A 9A74A74D 5D0EBD3F B6E4E1B3 F930821B 1F8D3383 559234E0 EB7143A F8489E0A 478288FE
2 1 6E 1F F6 C4 64 D5 30 66 05 D252 3E2E 92D1 C0AD 6999 46CD 363B D23C A3C7 F89A2617 A1F91198 3550D271 B715DAAC 733034B1 BEFC28A0 85F8854F 6B162E6B 37EE1640
2 1 72 F7 22 C8 40 FB 47 34 E5 2673 7C14 AE67 2B84 6EAE 4053 32CA D23 54D5 E0AC08FC FD7D9A2D 89F6E688 778978F1 CA678083 3441A235 427866BC B4D24392 A120C887
1 0 AB 3B 33 0B 4B 51 C2 93 68 4BF9 E8B0 362D 97C3 7C8E 116C 48EF 4A78 24FF 348AA01B 7D6BC7DC CC873846 ABAF78EB B31378EB E93FF301 86D90974 93FA652F 11AA8725
2 1 9F DD 9A 16 AE A8 80 07 60 D53F 559E 9CEB 6FB7 3793 7C24 4C17 D1A5 60D 31AD106F 346C3980 B79495A3 A12E2252 510132F 69E660E5 268A7536 ACD72B29 9FA74CB2
2 0 FC 7D 94 3E 83 4D 48 5B 4B 1F32 F7F2 E76D C28A FC6B B75D 645F 73E4 68D0 AD484673 A658B652 FDEE66A7 1C993756 873B31B 8B811AE B2FF0B1B 34F67CEF EDB2A120
2 1 76 89 BE 78 6F FC C3 F2 59 65FB 5694 818D 3014 1237 57B9 E146 A5DF 3C23 BEB02692 3B99D77B 1029E989 4CBDF2ED F93D866F B945CE72 555B1784 CF1AD68F AA06FBD
0 1 02 66 E9 9E 35 BE 14 7F B2 368B 2F8D 1091 3DC5 1C4D 389E 8422 5C8E 404 7EE979D0 F714016 E14C2A2E FF5491F6 BA4A1E53 8F781796 6650C634 479E5727 24CB4E64
0 1 F3 80 8C F5 31 B7 E6 6E B7 6362 EEEE CA91 3205 157E E024 ED95 42D8 B3D1 B3EF21AE AA84EE2D 2F13AEA1 4F100156 BA7FAC6E B759BF6E BAB0B5E 9655B091 3C5BFB28
0 1 95 77 B4 F9 CC 54 53 C4 BA D809 1A5A 5019 CC96 B874 D9 440A ED03 CF0E B51F896C 713AD4F2 A9F479B2 21F5CE05 4A2CCCED 14C8974D D211D92 A296F1BC 28BC4DA0
1 0 C9 9A A9 00 0B 64 13 D5 E3 2632 4BFF BA0E B6F4 E9F2 BB07 B76F 8AB8 43BD 2E5D54BE 29E54DBE 1D499DEB 9A00EAB0 AE4379E2 765314BD BBBD625D DAE0E662 E7DA36F
2 0 B2 AF 29 5A 29 BF AE 7C 24 5AD7 E63F 3612 D4F6 C6C7 9130 3758 7E5 3ADD 989EA1BC E43C701C 725FC219 84619EA7 71596E0E 5FC2B3F8 5D7BA209 D70F336D 9E244E58
1 1 6F CE F9 5F 53 BE C8 CC 5D 4AEF B2CC B292 1FF0 EC9A FE77 BAC2 8450 C479 FA777951 349A8C9D 5E5C6650 FC7CCE3C D67A2112 5C463F56 2775C6AA 37999BF3 274075C5
2 1 AC 44 6A 7A A2 41 E7 69 23 A019 EDB5 5036 6C53 CCD4 4935 304D 6D0 2C89 99D321A2 CA66DB2 81C74496 5BB98F2D D2A5A92E BF1F210A 1AFF4E0 1AF4EF59 FE96D34B
0 0 5E C4 3C 78 17 B5 B4 C3 51 D8D F6C8 27FA 2144 2C26 46AA 895E FDF6 4B8B CA9E740D E5A93E64 81D75BDE C5E882AF 1FAEAC47 D8718D53 62AFFD24 4B915437 D42F1780
1 1 93 97 51 96 86 4F F0 75 26 BD66 25A D41D 701 4D46 FB2A 1B3E BF7A 84D9 7544B0DA C251BA9B D2751F80 1399B6E3 A597CC14 D0194069 DE9C31AB F72AD523 BA0989F9
0 1 5F 1B 3F 45 14 51 4E 45 28 8E7B F270 1DC 4CC7 E8F2 BD56 CF50 9D4A C943 D64F1174 6997730 63D60584 CC776E14 95351B27 D24026D2 1C412B24 7355FE4D 7D746844
0 1 EB 60 3E 2C 92 60 2F CA C0 A6EC 6732 DA7 D89E F324 3B0D 7BD2 33AC B6FC 5C3FC3DF E2D12E09 24B88EF4 580B07C A7F8CAC 86BB9931 6D69CFD6 B4026AD4 D4209B97
2 1 E1 E1 2C 6C D6 ED 1A E6 A9 B21B 2B7A 6782 7D51 DED3 632F F5CA 692B E5BC 766D1790 A1C07C0D EBA3CFEA D934C635 19954962 E6025CD6 89CADF6B 813871F 4F59C3A0
0 0 A8 F6 9D E8 38 81 A5 93 B8 6FA9 8FB1 62AE 2245 F34B B7C1 A49A B576 81E4 EBE4D2E7 C6B0C87 72E8C59C F8A3AE0E 1A409811 9251B9C8 35AD46EC B461193C 2003C674
1 0 6B 51 C8 B8 1D C1 19 E7 25 DBA0 C062 3D04 E355 5847 413A E3 359F 7762 79943EC5 ECF03AD4 7F30ADAB D71DD507 10648A12 98DFE292 B335CE8D 1CEF7B0E 5D6AB736
2 0 1F AF DA 8E 92 15 73 21 34 E8E4 D7E1 C9E9 5FFF 9A27 2394 1C0E 2CED 9449 6AEA1011 EBC54EC3 17699EBF 336FA207 1DFFD52A CC9AE272 24C78BB5 35F17E3A AC8A8352
0 1 50 AE 4A 85 7B 1B EF 14 BC C9A5 9EE8 DCEB A9A1 2B0B D3DC FAB4 7F04 4CAA E9EDB1B7 32848285 EB679EE1 58138C52 7991CD57 CCD2424F BCAEE148 99A0B7AF 5D8DB5E8
1 0 78 F5 7E 4C 1F 90 84 9A 0A 20E5 EBCB F932 203D 6A4C 17BC 213F 1A5E 9E4E 999683A3 E28BEAC 6D7ECEC8 EAF07A79 9640AC9D A55AD573 9FA8986F E9BE1900 A949682F
1 1 86 37 C1 C9 6D 60 7F 29 2B 4575 9E5F 1CDC 62FB A0C5 7879 B14C 5066 C0B4 A61CACD8 58FA4177 116A7816 F46EA1BC DB13A91B 592313 8682FA39 FF8D0490 8510B35A
1 0 81 A6 EF 9A AB D2 10 DE 1A 23BC 939F 6155 41C CEAE A6C7 71E2 560 34CB 6B4E9B76 A9818253 DA4DBCC0 1BC268A3 66812BF0 C3B09F3A 818700D2 AAA06A41 19A215A5
2 1 8C 7D DE 54 94 CE BA 0F 61 F6BA B9D2 321A 7F39 B3D5 50E1 F57E 32EE D0A7 D0C7BEB7 DB52D77B F84FBE5F 86DDFBAC 8AC6B702 AFFBB464 8167DFEB D5E5DB14 194772D6
1 0 E2 E4 62 65 2D 24 C5 91 CA 3DBC D842 681A 1B45 989F 346D 95F7 9418 7C1D A5B185E4 CAECC24C 65121885 7E1EA178 27733F14 7FE94947 AD1F9ABB 817F5C45 2705793B
2 1 EA EB 3E 68 87 54 B6 3B 98 7350 3992 310D 9FF F9DB 1BE0 AA2E EBA1 3C60 D46FFF48 CB81311F 874DD78 4528A50C AE10026C 37BE7F7E 36BB9BA7 7CC1D964 D15F2B28
2 0 D8 8D 6E 5E C4 54 E3 0D 8D A973 DE6F D795 3532 1E33 1128 46B9 2C6D 2288 E0BCE36B 80C62945 5C7DD688 B1394343 BB2C81D3 8739BCE5 DA7F81EB 41D82865 D32DB6C7
2 0 09 26 C9 56 EA 06 CF D3 62 7A8A D1D9 EBD2 78F 461F 399E 1C45 3E5D 8E2C 89C9A6FE 1170E86B 3D6A8AEA 62A7A99A 4E5D8330 71A2394A AD26BC52 B7B34104 FC08D693
2 1 18 2C C9 C3 B6 26 0E ED 24 FBE8 B938 1809 DB98 1FCF 5C80 C87 1629 9F01 9F980BDB 4AA7E771 9A9A0603 75C895CC 1D8C2E67 380E44D0 9E198A13 89A851DD DBD679BF
0 1 79 4E 94 72 9F B3 F3 A5 1A 2902 F80D 80FC B5C F565 CA08 4A0B 8C06 D874 6F94608C D74F9B03 760CA4F6 28429B52 46E7CB72 4F3038F4 5D3803F7 15829688 1C3010D1
0 0 AB B6 1B 38 36 67 2C DC D2 362B 9423 85C8 245D B1DF BAB4 9AFD 7E9 C147 1621881F 47F8B066 943D8D9C 10BA22EC 500FC58 8DCEBC0D 9460CE59 CABAF2BA ACE94EA5
1 1 93 86 66 33 D2 6E E5 70 F1 BB7A C426 02 79A9 2760 209C A4A2 5BD1 5585 25B39A86 4D01E20F 8BC60BEA 7100CD2D D8125C07 B20AD5A0 4A11DD79 B9E22DB2 F62CE55F
0 0 84 C1 89 0B FC 82 C9 6C 33 5DF4 F979 57F3 A92 FA22 394C 6624 1425 B39D 113FE042 603D0F41 C510E579 B2FD0E69 A159CF32 ABAC8E32 E73C3716 751FDFC7 5904C13E
1 0 2F BB 64 A2 0E 36 A3 EE E4 CE3A 760 5B3F 6815 8EAF BF28 CC4A 57D1 4008 FFBACED0 90B573C4 74F6A2FE 953DE5C0 762A5406 F1868DA3 62F9E528 CE569D5C 1DEF1EFD
2 0 A6 3F 4D 78 55 79 15 42 81 EB55 EB74 1BBA FC03 CF7C D1DE D069 9401 91AF 21D19835 A0FFA335 E5101F60 1B18F79A 68295B3D D8822CDF E80D15D0 A443191E D5F5583
2 0 7D A4 65 9B 63 16 E0 E7 D5 7524 AAF6 B70E 3BC1 917 AF55 796E D480 AABB 9999E471 4427EF73 9CE3E120 D33F8565 8B109C25 C2FBD33B 270B681C B3AB43FF AEE83618
1 0 3B 56 B4 A9 B9 E7 92 16 D0 CBA8 72E4 C9FA 41BA 2B3 A6A0 BB2E 92EE DFE3 1C2E426 13DF800F 9822BAB0 A8B6199C 63CA8EB3 24F365A2 BF405F4E B99C93A0 6FCAA5CC
0 1 F3 9B 53 69 3C 89 4B C9 A8 40A8 6D92 3EC4 CB82 9CE3 C8C3 D655 7641 BEBE AB0B79B0 47AD42C2 1C3043F1 CED46116 E57167A4 EB558BB0 48234001 5D6CE13C 8C15BD37
1 1 08 88 71 CB E8 04 DF 4B CF 2131 C8E8 A294 3C1F 885E 891E C9BF CE34 113C 9D4FAC6A A9026B2C 88F4E0D4 4D3205B1 A5DAD46C EBCCD0F3 DED292C 362CD660 C50482B4
2 0 DF D2 7A 44 43 63 A7 00 7F 9AA6 A08F 4AB3 38FC 68B4 C7B5 A3CC 4620 77D4 4422E215 E75AB639 8BF241B4 FABF150D 9397279E 49051268 E970A476 CFFC4D62 51C2720D
1 1 67 BD 23 AD E1 42 56 4B 23 142C 47F0 675C EFFB A066 184A 58F9 67F3 1F3E 36C2BBAF E5D2EED9 F9E74858 A283C183 AC3680FE A02650CC 74B637B3 6E54DD6B 2B065C13
2 1 8D D9 EB 88 1A 24 D0 14 CA C5E2 65AE 8F66 977A 8582 D536 D2EE AEC3 1B0D 54027F37 F86B785E C31E79A9 D93860B7 A9BEF512 5D22B074 BA18371E 8CF65D7F 627DA175
2 1 BC 82 2C 62 2D BE 2F 59 5A 1E7D D345 61AB 6A13 9FEC D673 4EA7 B2EC 9085 1EE51947 6D969A5D 73F3D76E 990E8B8A 6DE3CA7A CE83DCD7 C9CE72E7 3A463963 E36163D7
1 0 A2 D5 ED 68 B0 AA EE 25 97 FA9E 3716 6E79 245B 1FC9 3266 8C0A 21DB 124E 62195C83 34A60CA5 F19288D1 B65E39F6 8D37385 EBFFDD98 647D6C81 30F7A1E6 2FF712D1
1 1 3B A1 5C 5E D0 1A 21 A2 34 C614 E6EA EB7 A164 9613 6DFC F6B4 5A01 9655 94FABB09 46CACFD 6AD2B714 3613A277 6CCAEAE3 2770D902 B191FF14 26D0C546 2E6A82DB
2 1 0C EF 9E 72 32 66 35 DB 48 F513 C7C2 54D2 33AD 2E7F E4B 5B1F 3395 5575 908CBE09 7AAC8062 45379ADB 707E8D13 1AD373E4 4CBBD6A6 F2BCC486 2A47C3C2 7FEDFE70
1 1 A4 D0 8C 9F AD DA 06 DB 66 2C0D 1EFF A9A1 435F 209C C477 25B9 4EF7 FE3F 991157D5 16F3CC06 9A90D6 5ECF2FB6 4CB528AC B6D25102 D8A6203 49CA9483 A578803F
1 0 18 B7 1C C3 B9 BA D9 D6 85 409D 2B1E EB9A C830 D1C8 1848 A7F2 74E7 7D39 651432F5 338DF78D 9D48F234 91DCD309 F48C65A0 696DF6E4 32DAC5D2 46AC99D5 F98D767E
1 1 4F A0 1F 96 FC 16 25 5F 5F A449 4533 2BB7 F062 B90D C7A9 389A EC0F B358 5DDF5E10 1ED7402B CFBC9F7F 18D58063 DF671035 35288405 85FE8967 D10E72AE 4E8EE1AF
0 1 48 66 36 47 35 7D B6 8B B0 1C7 62D3 DD4F 4EF 3453 18DD 789D 4AB4 3643 28CB4BCD 8FE4F700 2AD87A0E 7BEC7387 1A92470C C7383C26 23ADBB2B C97224FA 43F6634A
0 1 99 BC 0F 28 4E E4 90 BC 09 B977 6C13 6A02 3334 85D5 4280 C862 3FA2 E169 A88AB170 1689E33D 4790A3F4 6B3EC8CA 8AC7669A AB8C9B49 82671823 5903B4DF 42A0A1B5
2 0 68 49 17 3D 8A E2 6D 64 36 5372 A38C B76E A931 FFDC 6890 F975 D3AA E87E D1FCB3B2 F3A284F4 3DE270BA 8D6F0C84 C85A770C 69DA9772 B9B9F7DD 872ABC4B B5D8BAD8
0 1 C5 EA 4F 45 03 D9 83 B9 1F 36CE 10D3 460B 9FE8 F1BC E1BA 55C7 B516 BFDA B012755E C72CD81C A956C63D 43A1643B 2B17D995 81317514 32E9E58B 8950692F E4609F3E
0 1 2B F8 68 70 F1 3D 99 64 79 E907 56B9 A6C4 1C63 AE26 E572 5062 902F 4186 6CBFCE3B 6226DDAD 173D8538 80017373 A871A680 61FF0F99 C7EC37E9 C42B63F5 469FCD41
2 1 4A 8C 11 21 08 1A 87 31 AC C7F4 A122 5E85 84F8 DD34 CCFF E703 5640 1FA3 6117CEBD 5744E34E 742DB80C BF1FDA4E 24562E2E 35D00571 A9C3CAAA 2AF24695 AB043D4
0 1 2B 6C F2 A9 37 9B E8 FB 7A 866A C5C8 5365 608C 1371 A22A 69B1 6F7A 5D14 3E082FFE 79A87873 56886C2A 97AC6971 439F5F5B 70571481 A8145467 D0A3FB2A 8DA7D62E
0 1 2C B3 D7 F1 FD 66 03 E8 EC 6B00 4F74 428A 84BE F117 E661 82A5 BB81 D886 8BAEA596 D8209AF7 2DFF8E74 3EA1C10F F92EDB6E 785FB8B2 B588D22 966BD515 BFB0112A
1 0 3E 08 49 7E 22 96 72 E7 44 1DC0 BBFD A3EF E3C0 29B7 33C2 5938 7ACF C70F 7CFBF44D FCBF672F D0DEBB70 DE1FA213 5071006C 351AC87E 201AEA7A A1E6152F D40BAAA7
2 1 4D DB CB 99 C3 97 D1 CF EF 6BFA 4D2C 3B01 A087 C4C8 A1BD 984E 3BEC C6ED 32132B63 37680983 7C000203 4C2A6255 8A45C758 23BF67C3 F5CFCD7C 4DCEE34A 7FCFF4B6
1 0 B7 6A 19 A0 C6 B1 0C C6 A8 F697 DD99 C34E FCD0 881C BC5 2347 D8F6 A403 C307F96F 3A404A45 96827C8E 8502C4DA 1F2AEDFB D431862F BD3C834D 12195FC7 CD384107
0 1 D8 F0 43 7E E2 22 E2 F2 9A B827 66BA 35AF F92A 3557 4E4B E59E 118B 58DD 80792CA7 67B5E4DC 3F8A4D33 9D2F13D4 743179EB 3FE9D1F2 AF660F87 4CD1186C E8951D31
2 1 F3 5A ED 37 99 F4 0E E0 54 9C46 5C47 804 C493 FD8B 701E D180 864D 9957 16BF931 98424561 898A14BF 6ABEDEA8 57BD7CB0 404B5DD 3B8F2A6A 54E7C308 1271C612
1 1 A6 2A 33 C0 61 0A 1B 2F 36 78F1 4F1E 4D5D 942C 19C4 A3F3 238F 680F 345B 7DDC51AB 548DA85C FD8994D D696C6C6 22CD2530 5BF10A09 43E284EB 5105F506 E2DAEA96
0 1 94 E8 53 1B 95 B7 92 09 0C 26C8 E71E 9803 DFAA 6420 4C5F 9E86 CC79 9542 94ADBBA2 9422C62E F57A393C 90525018 CB0D413B 90F97211 AA3BE961 6A24C4A1 5696BC0
1 0 04 15 CE DC C4 04 1E A3 79 AEDA ACA2 AB72 954D B1C 525E 2A2E DDFA 58F5 4B07AF5B B6E436DC 107BFFF 70D1017D 6C1AE814 91F17B17 B94F942C 7B6D41CE 9BE7348B
0 0 B1 CF 51 2C 6D 16 C0 C1 EB F8D0 786 CCB A6F3 7276 E16B D58 3EBB 8E82 8F571EBA D6728CBB B62E8E32 F395AA04 9582722 BCCBA2A7 807B873E 85B453D7 812219F5
1 0 8A E0 CF 82 80 38 0B 21 0D CCE6 CFCD BB17 3EF3 F621 5828 C974 4865 14C1 FA0C338D 28C5F57A 21624218 6372E377 13DF00DD CA87E771 8EB2D249 6AE360EF 1B5319A3
0 1 BA 56 59 E8 BE 32 C4 E4 F6 652A 932A 8EDB BDF4 5679 CCE3 E33C 4570 834D 89D663E4 E66C27B6 65FADAE9 F013DD8B B7366E40 3D7049B5 778F35EC EACC127D 69A62D38
1 0 C1 AA C7 89 3E 36 27 A1 A6 4FC3 DD64 BDED 7E16 F7F3 4491 FC9A 89CF 4C69 ABAE1135 B20562BD E880E1E6 B8CCA567 2C889DC2 F1D1EC9D 67B04BB6 4A9ACCBF 40A40407
1 0 50 7A 74 06 E4 C3 16 42 51 DA37 16 6F17 8AE0 FD83 DD63 6CAE 2753 6E3C 5D9CE4EC BB0A49D7 526010C7 452A6798 27833A2D 74DA3C93 7CFAC5D2 15F0612 467F55AC
0 0 E5 F9 D6 E1 FF 3D 9D C3 9F C629 DC5E 832B 789D DA5D 6C6 68FE 7FAC 7039 C1F07D6D 7230B3C9 CF6A9B47 2497D67D DCC4F96B 27E3FC6B 4D08D06 823A5913 6C287B5D
0 0 5A 6B 9F 2D E9 44 0B 80 F9 20EC DECA 3DC4 2540 2502 5F7B B452 81CD 1D65 5DB9AFEB F7AF7AE7 51042826 270EAC03 FF9408F3 DCB0EB58 63E9BE8E DB56B78E 8016AFB
2 0 56 D1 03 B4 2E 02 03 C3 24 4923 D7BC 5109 4622 3BC9 F414 BDD3 9E4F 3CC3 2AFF8B5F 706AE9A6 5527C80C 47B1C625 3954B8B8 75219DE3 E3ED0670 B6E7005A 9320E847
2 0 C8 C8 3B 9A 2E CE 3F DB 14 6D4B 7D9D 5AF3 2557 A678 266B 3998 2D31 D590 E0ED5F05 E1BA2CE9 B5DE4359 6E74DFC7 C28C6E7D AFFB7D7B 9AF1FB0A 2C1F011C 161D888C
2 1 0B BF BD 54 B5 48 BE 8D C5 3735 289E 86BB 563A A934 88D3 F39F A3F9 AC88 969A64A3 9C10B72F 15977712 BE6774F2 2274815E D79E0DFB B246DBBB 6BEC3013 5CE515A4
1 1 E9 78 10 34 B6 8C 6F EB 31 BCA0 E702 1AED A68B AB8E 83C9 AA14 3A9F 1763 CDC3F0F8 5B99B9DA BEA1A1B3 D5BC3E28 F237DF8C 4A00FDB3 E7128BE4 5D9579FB AF4462B5
1 0 18 A8 78 EB 63 91 07 E1 75 93E D703 5411 A146 D009 4230 BD35 A69F 5FB1 7CDA6FCB F610E22F 209C4B72 B7F29BF6 5837A8AF F792C44D 2E45C513 491EA5A4 9A068CD
1 1 BD 86 5F 33 F5 BA A6 B3 B9 3241 6477 72C8 4E17 C45B 2F45 9C3 7C98 7496 F767DDF0 8EFFCE13 1A2B9E69 B97A1A6B 4ADEE67 D6735D2D 2D11D959 DA746E61 E783CDDD
2 1 99 D5 1A 51 8F 7F 65 5D 6B 6873 5F74 ACF4 887 B636 BB22 B22 BD31 399B 68B97312 3CD24B13 24F3CA3 2F5F8BCE 83317A67 ECCAF349 10AE14F4 AD6F58AE 53719C68
0 0 FC 8E BF 4A 98 71 38 79 26 B224 9F31 8F3F A09F 4DCC 8810 F4EF 4546 752B F3A119B3 EB81F8B3 D8E4C46E 71D879B8 7413362F E46DD473 D12B393C DF804987 237BEDDB
1 1 39 B6 72 6E E8 6B 05 AE 63 6BA3 794A 4D5B 4141 F7F3 EC88 11AF F001 12F2 37C00401 191B948 A6AC162 C2072BCA A4B93294 28B6DE6A 62FF05B6 EFB04AD9 922FE280
0 1 A9 51 7C 06 4A 9A 3F 9F 51 994A 4F65 67FE 775A C51E 9FEE E5E1 8920 F1F2 F801D43A 4ED9A7EF F88D84DC F470A0A9 9B7694DC 1A0E4B97 1D3C38FC 1F5577F5 45127E99
1 0 96 C2 2A 4D 96 B3 33 CD DB 87A5 47D8 6DA9 6B89 24B4 30D7 10B CDEC 9833 29F139C 760C6E9F 4609BF98 689F141C 2ADB4ECF 5A29800D 2AD0DF8E BD4A0DF2 9607DA0D
2 1 5B 24 47 F0 B9 34 D2 42 00 6208 2D14 DAF7 A639 330A 3085 CC58 EC4D D461 41FD1D1C 79C7BB1D 654C759B 35E3517F C7CF2B2F F5D9A25D 3FAFA5A1 5E3BF40E 6746C23E
1 0 12 C1 F4 53 27 7C 97 FB EC E5FB F616 EA51 DE0 1B80 BFE4 6DB9 E2B0 7001 FC2D0E9B BB5E7862 2F20881D B477B6B0 92D89962 12A4C4E2 A446DCB0 1C7090A0 235B0C91
0 0 A8 A4 EA A5 F3 A5 A0 27 B2 4D89 82B0 E63 E792 4E3F 203E 3ECD 4791 ED7E 5200DEB5 4A7BAD02 7FA8DB2 9E7EF994 FF68C800 2088370F 3BE8366D CFF34517 F148EDF6
