# widthSeld, typeSel, A0_8, A1_8, A2_8, A3_8, B0_8, B1_8, B2_8, B3_8, C0_8, A0_16, A1_16, A2_16, A3_16, B0_16, B1_16, B2_16, B3_16, C0_16, A0_32, A1_32, A2_32, A3_32, B0_32, B1_32, B2_32, B3_32, C0_32  
1 0 83 5C 48 54 3D 3B D9 28 92 A3F8 7168 C159 598D 127C A24D E238 73B0 6239 D633AE5D 60939324 4FE6F6BE 9E601457 01AE50E2 37826E69 F927BA68 96E70BB0 FB349226
2 1 D9 09 22 71 8D 8F F2 5A 93 9DF0 F704 5AA9 9B73 DACD C092 DC5A 7FFD 2518 F7EAAB62 7C8BC539 52348024 DCD0FD42 E2E93C65 F1545FCD 89EB7806 47E51132 00344DAD
1 2 8B 6C 30 DD 64 DC 6F D4 47 CF3E D595 8D7C F893 C815 9645 1DCF EC11 1AAB 4802F376 486A403B 9B7429CD F311C98A 0CDD099E 30F3E353 D3544B6C F0D60A0C 19A0B6DA
1 1 F5 D2 4D 9E 59 A2 B5 AD 05 0734 663F F2AF 7A39 5483 B237 36C9 6521 31DC D4E31083 5991AE18 C6D4AA7C 42A7CB3D F72A7DBE 067A0C5D 953C08EA 4707AA97 084D7921
0 1 4A B3 52 17 CD 96 B0 37 CD 1550 DDF4 F365 EF26 B913 C300 6FD2 B615 126C AC5D3042 B24BA04E D5C05759 1E7791A5 F8F6968F 56712892 1C2A9BD2 8FFDF305 FE532F98
2 2 6C 96 45 17 C4 28 6F 37 E9 2120 B9FA F246 2901 B5E0 50CD 40C5 83D2 C6E0 E6442817 A0964C7C 219C4F42 A26C1A99 86940372 CCDE1194 62C858AE 32CF555C 9D8452E0
2 0 AE 1D C1 CA 62 33 DC 79 9C EB05 5510 8DD1 C82C 33EB 60B0 BE0E 7913 57FA 35DCAEAE 7C52E9A8 609BECB3 16797067 78FEF34F B59D1EC7 AC567804 E4C7EE51 4C57EC36
2 1 39 F3 68 DC 0A A8 3C BD 28 A602 F70F 7664 7DCC 863A 236A 62AB 893D 2AF8 7A6E8CCD 1D817C6A D21C4034 234DC510 12699DAC 557E7671 07200AD1 50D1543E D73E456C
1 1 FC E8 59 E1 C8 49 9A 16 D3 F9A8 DCCE 5B00 C38B AE27 37D4 1EC8 CDF0 D63F 201A15CF 9C297E05 0BEB6043 E195CA28 8F9E5A06 4911D157 843D101F 12938116 642338BD
1 0 E6 12 45 D4 76 F2 DD F9 5C A6AB 4BE1 CDD7 061C 0925 7BB0 784F D380 A59E 44976988 24355839 9FA5E5BB 2407E43C 1C06F3C0 8DBDEFFA 55E364F7 3F3FDEC5 10103996
0 2 61 0E EE 15 4F 6A 8B 86 C1 1AE6 254D E06D 9003 3A43 BBDD C9DB 5633 8998 E3646611 C11F6F44 A12D5C6B FCFA84D4 A6A28653 610D244E 4E66684E DC323284 AC8BFBA8
0 2 83 00 44 37 82 95 39 31 6E 0D67 F68F 7079 74A6 B4E3 A233 F14A B2D9 CA43 1B152333 B66089F9 14C2D1AF B518AEB6 190FDE78 1B335D9B 294B1638 60238A14 E5D00025
2 0 E6 F4 14 0C AE 28 90 97 4F 5B32 46D5 9960 E435 A448 BB3C 00EF B2B1 75A8 F312FE7D E41E9A10 92E29E94 4904B956 CDCC0B6B 5F052248 581DB19C B4FE2746 95594293
0 0 62 F2 AF 4C 6F 68 B7 A7 74 3B38 1F3E 78E6 6216 0ABA 79B0 E385 CB10 FE62 117352BC B41DB424 33754A36 7EA9D9D4 74804CEA 230F0F87 9674F257 F6BC0129 148BF410
0 0 A0 6D 2C EF D7 42 05 8B 1C 81D5 C00E 974E 05B1 11EA 2089 07B5 3D55 0F69 7BB7EBAD 37126177 3A5227D5 16AA4DFB 907CD96F C21E2EB2 26BFFD6F F72594D5 15F03482
1 0 81 1B 0D 3E C2 52 EB 83 E7 1A8A C18E 6D5F 57E9 9ED1 4020 2D54 E5E4 71C0 11D845BA 439278D9 2E4AAE06 CDD9EA6B 2481D0B3 3DA3F457 64BD0DCE 07448170 2393E2E5
0 2 BD 60 33 82 9D 7F 77 64 9E EBE9 07BC A80A F7B7 27AB F5D3 0D1A 7545 4A4E 01861276 F461F7D6 C3B2A805 AB09C48F 9F272A73 67E77F76 64460D0B 89FE8ED5 CE450FED
1 0 39 87 8D 1C 95 64 5C 99 04 70AF CD00 2BCE 518A 4733 FCC6 2D7D FE80 EDA8 0AEB2AD0 A6747E99 693A5115 9E5F9B14 95C5ABE4 848B58C9 07515ECD EF081809 7462A397
2 1 D5 68 E7 0A 53 97 1C B4 EB 5AC3 5DB0 5E0B C728 AFBA E8C4 DC2C 8340 E68B 19A16545 8779597E EB1A156B FBCC608D 390162A4 980CF34F 734BEA00 C8215107 B3C34144
1 1 7B 22 B4 CF 8D 67 26 5F E8 5E7E CD4B 441B EFC1 1BC2 6C58 0541 35AD 986F C74F862A 2727C209 E91E74B8 94715620 2B2969F3 11892B79 32465637 2ACF9F9E C1D1CA67
2 2 0D BC D4 7D CB 5E 8B 8B CE 8627 F4EA 3C82 273F 6D0D D0E0 E49A 0397 19B6 B887EFA9 61E6A040 A1B9FF07 2968A9F8 0EF4BF1B F78AA829 BD5764CF 46337827 1B652CE2
0 2 CA EF C7 E2 E1 B5 BE 6B BC D5B6 8DAB 611C EDF3 5843 9076 8F6A DAC9 DC4B 1DE14D27 E28FAAD3 5B0B0921 9AE0EB3E 620A020C EF8533FE 813AFEAF E7A475AE 49827642
1 2 24 D2 D8 5C 2F 3A 3C 05 3C 422D 59F3 27B1 8771 4FEA C5BC F4E9 3F97 FFA5 A92AC0AC 6D7F9BFF 0134180E 1950F892 9C7F11C8 4430ACC0 F946AC65 89ED1122 FDB4EEE0
2 1 DF 3B FF 7F 5B 41 A7 32 34 2D5C AA01 7591 8580 5126 9076 3AFB 2DE2 157D 6F0223FC 7C81E5FB 6DD547E0 F0431E8C A6D6740E BE5BA18D 9B03E913 C424B75B 9CE938B9
1 2 C1 15 A6 9A EF D2 20 52 12 FFF7 1E09 5382 1494 A783 0CF8 2D98 DC16 3B46 2383A890 F56DE7B7 4C67DEDB B32F0BA3 3EE28890 8FC7EC6D 67F86A15 C92ED24D 13F932A2
0 0 D5 15 56 D4 D5 CF CF 6D 25 812D 7F7F F8BA C98E 3F3F 00A0 2A28 9683 603B 557C0CE7 7D242147 A2400CC5 404250A3 4A2911AA DDC9A7DE C350B732 2464FE06 5C3A6EB9
2 0 E4 11 A9 7C F9 65 AC 4D 4C 78C2 4ECF 0A26 95A1 F977 B699 CD01 3266 EE7E 02A60600 83214B35 08839D80 34529D6A E0D137FA 3AA8B52B 9D727F7F 9C55F2A6 1CC5E566
0 1 1F C6 B8 72 39 25 89 87 BD 0B9B FB5D C887 FFF1 97A7 80E6 B0AC 9F0B 9E08 F083803A 747DCCF0 C6CAD482 860DA94B 181CB81C 0D7052A7 E3AAE732 999C6173 BFD09016
2 2 1C 72 CF 54 2C 1E 8E 9D 23 3755 4A5E 866D AEB5 1FFE B1DA 4260 38E3 2EBD D70FCD23 5F945D63 FB5D0EDB 99B7D640 E19F7147 546D9FF5 2DE95ED9 D57593A1 C21CFC2E
0 0 C0 38 F2 67 57 87 34 0D 2B 9277 3569 AAE9 3B24 5367 221E E409 3EB7 543D A808D2C0 C636529E 20B15307 F60F47E9 C44B33A8 B9159116 2B8E3257 E965E600 14DAE645
1 0 89 E6 3E 19 4C 54 56 43 8E F173 CCDA 1482 1B23 A151 C2CC 815E C9C0 5645 14813406 42197171 9D38B8B5 6A3A81C1 05A5A2A0 E9DD215D 2A3BF245 2BD263C7 B3834852
0 0 C9 0D 78 F9 0F 61 5A A9 4C AE90 D7EF 9610 EFED 865C 3550 5A52 4D47 B50A FDFB5BC9 0219D56A 45F34EF4 01B1B1A7 6BBFEF77 9A962741 9941CB1F 4376AD9B 4821EC6A
0 1 25 4C 77 76 D8 CA 2F 3F AF AD98 2CBA F67A 5350 5A45 D53C 1835 3ABA 16A6 AD0A10F6 942DD2BC 01B67A8F 2A5A2014 6947D7C3 167B917C 985FE55B C64E5F81 54EC185A
1 0 E6 36 FE 9E 25 6E 3B 44 1C 9CF7 6E6A 2A01 EA88 18A2 EF11 69B1 CBCA 2BD0 445ACDF2 DBA4752E 6D1FC7F1 8B18600E 49171EB5 F12316F3 8FD6AA95 6A46D4F6 A8022819
2 1 B6 B6 D8 37 7A 0C 92 AB BE BE89 4E62 D8F3 57E7 1A6B 1CB0 C8D9 7224 55DF AFB62B65 287E5653 DE4DC6E0 C85A3F3C F0C7F0EC 6EC54F26 63D3333A 5B218D4B 15BF1CE7
1 1 D5 40 E0 B2 05 C6 B6 D4 01 0689 D44F 109D CC04 D4F3 41FB 8C40 6DA3 6900 7E2F5A0C D1E6BE9A 47D0C741 5236DD82 275EEAB8 5007E3E6 850B404A 1078D5EB 36AC10EE
0 1 79 E7 6D 22 32 84 91 97 53 384A C337 8B90 8187 57F8 4782 F9A4 0A07 354A 80F811B8 C7D384A7 822CBC81 E3BF6BF9 76A69375 45DF3CE7 F49F6DDA FDD33BB3 7BC2B1F3
1 1 20 A1 78 15 83 94 8F 19 F3 9BE0 9AF1 7C20 DB37 9522 9A01 1720 CCB3 F6E8 8A6CCEC7 C9988CF0 76CB58FE EC43D176 42EA8EDD D6B90D9A CAD93585 B2EC81AF 39E32EA6
1 0 B2 30 8D 42 07 0C E4 E1 AC 7AE6 182C 7AB0 8692 F8D4 85FC B449 47D9 CEA5 45C1D92C 253838E4 00B5FE13 D6EDB07D 6D2613D6 8C818CF7 3690BDA8 6A4A8C0B 8733D355
0 2 F6 7C A0 20 D4 72 6D AB 50 24C9 F23E C590 7275 3160 CDB3 CE41 3202 7ECB 29E9EDBA E0133C54 0E114228 2E65492E C5FB66FC 6708B4B0 C92BD47B C7DB3785 56AFA2D4
0 2 CB 14 90 F5 15 AB A3 26 90 BE7F DE67 BF27 4145 1585 4605 1C86 7EC2 C68E E4D97877 4EEE7C7C C6953BA0 61A92890 33A4FA18 F486DE2E 7F708016 F6148626 5C7F88EE
2 1 F7 13 1D 03 55 89 43 61 AE 2DA2 2AEE 47A1 E5CA F6B5 565A 2E66 4639 43A6 A27DDA72 883A956E 9263501F 767CC15A 9B407B5C C815F251 286776FF 9045BA26 7A9B9EA6
1 1 DD 13 B3 26 20 9D AE 65 EB C6B6 1B18 F966 62E6 0296 3809 20C8 4B90 D088 185B343F B99D33DF A044572B 1B6A074B 446299FD E0D41DF3 DDD3D980 AB320D48 F4771831
1 1 13 A2 EB 2C 6F 8A 07 60 37 FAFD D30F F4E3 8608 456F 837D 518E EEF3 693F CD13BAAC 15819945 F6C4EB22 AC2957B5 5CAF8B3C 31B68F95 8A0E8574 FD3CB032 D7385237
2 2 B1 E5 60 0D 68 37 60 AB CE A9F2 3ACF EFDA 9279 6924 6FB0 CA01 EA2D 4B2F BB288133 E6F7B396 40D8DECC A58106B8 C6CE9196 66B94F8A 8FEAECBC CFDAD502 186DC7EF
2 1 27 69 A5 D8 37 87 B5 24 46 9912 E3D4 A2E8 F13E 18C1 4704 F51F A904 2B18 1055D46E 3612F25F 60EAE7BF 166626D0 43C00346 C5282A9F 09E5DB4D BB531658 80FC2549
1 2 9B 01 92 3B E4 B5 40 23 3C C926 2B39 F952 097C 4440 5607 88B9 85D0 7532 51C73B78 017EB011 689F2188 B71AD9C4 8CD84645 AAE28D93 24A8531D 10C8ACDD 263A9FB0
2 1 49 3E 91 85 DC D5 57 47 A3 0576 4CB3 7DF1 A13F 8DEC FB26 E866 B645 4FDD F4AF0D7D 89A4CB82 34111C3A 37D32E8A 04692361 863D5139 69DCDC53 65A4E850 E63E8EE8
2 0 F4 DC 33 08 54 A1 CA E0 F6 3CC8 32B9 F439 6BF6 10DF 1048 C275 BAEB 99A6 1672A7C5 89DFFFF5 21E8D45C 9DFD3845 4A06FD90 5CB8130C F73C2295 5504AA57 6969F99F
2 1 2F DE 91 7D 13 EF CD 1E C7 4633 C8CD D17E 36DC 54E5 DC2C B1DF BA73 40BF 3BE3F02D 351E5BBC 2F7EE48B BD85822F 230CC70A 8AD77BA1 3BA3E7B0 F6E31045 39C80E28
1 0 D7 B3 94 C4 DD 85 AD AB 0D F4E1 967F 7B9B 8E68 87A1 2BFE 3A59 365E C18E CADF6D54 AE9A5993 3F148822 49BF2478 87B24C5D DED1F203 A5999CA6 51A1D722 0069531B
1 0 EC BD 6D 96 C6 11 7D 37 F6 95DC 4B39 0E9B 4DD0 DE58 35B9 201E CB44 7FF0 3FD2B26C F7DF9A9E 5C348E08 300808AF C2C3566E 91C9BE37 DAE3574F 8170035C C9ED2F92
2 0 E2 57 F4 30 EB 5B D9 2B 26 35AA 9CF3 09D0 F812 9C44 44BE 33D3 6D71 C49E 48F5EB4B 2FF7EC75 61B9B9C7 9F763F05 C49B1E9E 7E30186B 520FFF87 3BFAB2EC E78DB95F
2 1 71 D2 80 96 D9 48 0D 1C 33 5F37 D102 73B4 9A13 EE52 5402 1386 F43E 36DA 93A04168 EB3B9167 4A94EA40 E8E1955F 241036CE 8B2F3F93 D5E0D984 BA772FE3 AC85B4E3
0 0 55 86 5B 28 7C E0 13 5D 9B CA5C 09F6 4C03 1EA5 8399 2D47 3806 0AE0 1944 7BFA96B2 7CAC49AD 507E60CA 1A6F3A17 FF598966 6579919D 975B099B 43CC44E8 2C3D8250
0 2 71 3E 66 CC C5 B9 9B 5D 45 75B6 3B2A 0399 435F 7421 C83F 2303 A124 C2F1 2BE02F02 B8B72B96 FB38A24B F9F8FF87 10F38B01 84818672 F077B89F 966AEBA4 108903A6
2 0 18 82 9C 02 3F 3E 1C 9E 26 732F A4A8 ABE9 B5DB CBC3 467F F50D 7995 4E09 52F72BE4 584E49DD C03E0FCC 7C2AF445 F948AC92 A949E7B0 488F0F85 CB94DA34 384C27ED
0 2 E4 1B 01 0D AD 1F EB AD F5 3AB9 AC3A 4A48 36F4 15CC A1B9 7800 D56A 51D1 2339389C F0A81028 884EB2EB 57B10B73 0494379A DA88B61A F71EF57C 929FD42A B43A0BA7
0 0 46 1B 67 27 EA 80 5D AE 30 CD51 467B A8AE 390E 5EB3 BADA 6EB9 4C46 35CB 34BCF4CD 44F926B4 A07821B8 05675BB0 E9A4EC17 0FDDE4FC FBF5C722 D3B6FD51 12BFBCA2
0 1 16 2E 7B 19 53 FE BF 63 D6 94D5 B9C2 7218 4930 C22F 4C69 D8F9 18A3 DE10 CD66C698 F40FD582 6CCDC878 A99BBB09 4D3B88E8 061DACBA D383F309 57DAF826 90A0655C
1 1 E4 31 F0 E7 1B 07 56 D5 DD 8ACA BA43 EC34 BB72 9AC7 59B8 0836 4774 01AF C32E3965 16D87733 A2FEC85F AF406B93 711375C4 F8E20B38 A07BFC67 9B434EC9 3BA4AD1A
0 0 ED 55 C9 40 0D C7 1E 80 EB 7101 4760 915B 6576 3B5B 73F4 45D4 0E07 AB83 79FDA326 84F8FF7E E689CD0E D6A636FC 4CA5D210 71EEF473 216773FE 87BB78BA BA1A112F
0 0 6E 7B 21 14 7E 5C C9 19 AB AA06 AD02 380F B448 06C8 A6D2 B96C 67DB 5081 5142DD06 0BA76926 22B5FE85 29BF437E 3ECA85B0 5C374CEC BBDA3E0F 2A48E820 8ADC5293
2 0 91 FE 78 89 8B 79 5F 62 5A 91AA 4AA5 5B83 C076 17E9 9632 80DD 4F61 EC7A C75424F6 A131BDE5 1A9EAA71 8CFE07AA 57379A52 C6DB005E 85942661 5A0F38C4 5FC4C94D
2 1 06 39 17 9B C8 B8 23 EE 18 ABEE 8E16 DA91 E569 EA5D 24B7 D5DC B75A D8DC E7028983 29E3C5B0 7E985F7A 1726791B 69D349FF A006913A D01258AD 3B09ACCA F43BAA23
2 2 BB 93 A2 99 18 3F 71 43 9E 0559 63CF BAC8 B602 FCCB 669D 3AB7 F83F 0119 931774AA 93B7273E 01EDD4E7 0A8175B2 18E75E69 1FB72E4A 979106F7 F35DEA5E 7A783DEF
2 1 7C 2C 23 48 BE B0 55 E5 51 DC50 10E9 A7DC 83B8 4A4D 3CC7 4D5D 49FF 07BD CF4053FE AB5D0F50 6A9F6A6D AEB3C291 2D825A12 E5ACAE1A 2EA5D98F 21B59D7E C2F87564
2 1 30 1E C9 8D 87 0C 2C 05 2C B3D6 C595 4E88 F2F4 3167 5D0B BEC8 EECD 62B8 D7C35A56 71EF5FAC 244DBA2B AA79EEC6 02CB81A9 9F45086C D96DF4D3 51FB6AD9 DF374C48
0 2 EF A4 0C 45 CC 83 08 EB 49 87BF 61FF 6BFF B7F2 CF1B B2D0 40FE 4BD2 EB4A C80EF8E5 E902DA98 3737382A A391456F 094D9CED 7BA58D12 37889D98 69DADE3C 9FDAC762
0 2 37 E3 6C AD 2D EF 00 C0 35 9E29 D5B4 9F13 4A25 2535 273C E6BA 54CC E317 4E09C911 503C66F4 AEFF1D6A 1A3DB539 425F10B7 F30F77A3 1BEFC3D7 2A3F1FBB 83F50A07
2 0 37 CC D0 E4 CD 84 03 9B 4B 8389 EB81 94BC 999D AD6C DC73 C352 A15B 167E 89770366 C7E38E01 F04F0D89 3B951ED7 6811ECCC B7DF7CDC 64912E20 28A7899A 517D38CA
1 2 97 79 F8 6E 28 25 3B 56 DB 9188 A65D E884 DFD3 1283 78DB A488 8D85 E4C3 DF295B18 0F17416D ACE5AD95 3280DB8A 871B05D3 49C8EFE3 D8E85DA8 E521501E 6B0291F6
0 2 F9 19 27 29 67 5A 87 FE 61 5F51 2C5C 628C 9B78 AB64 540F C8B4 49B8 60AA 3DB183E9 E52E9BC5 AB0BBE45 66ADA815 70484399 836A98D0 221D4481 5728DC4A 7AD4881A
1 1 5B BC 9A 18 8D 76 5D A5 03 B61F AEF9 2C93 80D3 2B79 58C5 A0FE D7D4 4B6B 11CD6FFB 545827EA B2CF5213 49A17B1B 4A491EEE 8184BEC6 604A19AC 6EA74146 B4CDB440
1 2 43 D4 DA 19 2B 2D 7C A1 25 923C 709C F13D 1B68 9232 34CC 4667 78B0 170B 2AF9E147 C3A3DE52 E862580C 9389A4AB 7C7654BD 2354C027 9F14059D 4EBAB01F 0AAD5CB2
2 1 5F 54 39 5C 43 A7 7E E4 41 8C88 72DB 0F05 5553 B2A8 79DD 0FB4 8228 06E0 65545FEF 6C2C1730 0E09DF7E 96F502BE 4BC87D9E C212D457 9B3E5984 436561FA E0FDAC97
2 2 17 73 3D 32 F1 6A C6 87 BD 5394 A960 9166 EF2A 6AB1 214D D7CA 2068 0E2F 6A419EA7 E0559D7D DF44D7F1 60CD50BF D39642E4 E07BD190 7CDA66CC EEE7CE03 6F74F573
1 1 E0 9B 36 44 08 C3 B1 6D BD F66A CAB0 4333 4CA8 BCE3 A137 DFD4 53C7 E6EA D87855FE 03548596 507F39B2 A360730A FE27010A 5AD0E0AD 4F3C923C ADD88A0D EA2EBD93
0 1 25 B3 9F 58 27 1D 26 3D 21 A10B DF05 277E DA9D 853D 2713 E904 AC65 5545 80F4F9E2 9A793678 4111D2F3 255AFAD6 49E866DC 0C2AA8E3 0C6E94F4 83BB79FB 33FA12B4
2 0 DF 0D 9A 44 73 2F 0D 81 07 9A91 BEDD ADE8 7E67 428C F6CC CE08 F0BA ED3E 563A9C86 F7C8B4CD 7F60F196 0F256F59 097B5C41 1B681042 18CFA664 A1F8A8ED 381454C8
2 2 25 D4 56 66 CC B6 A9 73 E7 3917 2A39 DFD3 5E27 7EEA 6150 B149 299E 1FE7 663D83F1 B958C6B2 AB9FC207 FF331E97 78D9B56C 74B6A218 1967771D 28B37239 0EC82ED2
2 0 73 F8 3D 33 E7 CD 13 9E B5 D7EF 621A 25C0 0179 A5D3 9C3C CD40 9B27 3C24 6F38AB10 11DF8B76 A0E0DBA6 ED196A87 C4B18A24 E7778A4C 31016029 B1896D4C 94A32EE9
1 1 E3 9D 50 FF F1 48 E9 EE DE F8DF 859B DC68 B1EA 38AB B0F4 D71E CF1C C663 58A87605 5C51E77A 11FB3414 12D7E439 7DCF42F8 F8494E32 E357ECFE 9E9F7762 E00FD126
1 0 65 E0 AF 11 F6 0E B8 5A 0E 8133 9465 1473 49E2 C6A3 60B4 384C C547 9D41 E2E134E8 A3E315F8 CA71663B DCE6054B D989AC90 90FBAEB0 FA984EDE 927AC202 A848E042
0 1 D2 66 B4 49 EC BE 2D 0A D8 A401 EA21 AB75 DF6F F68E D857 14F3 E5EA 6FBB 575C3905 C5E2F695 774D9F92 49F4C2FF 78E75120 B3C17DE3 32C98B1B 570918C3 DC3077DA
1 2 63 DC F5 49 1F 8A E2 A9 23 A21A 82B8 07C4 118F 9172 4DED A3A1 2F51 0660 7C3AA2EB BD03B318 67F9FD04 AC3EBF27 BDB31091 903F52D1 FD6551EB AC8CAE4E 0785A800
0 0 A6 E3 E1 E2 A4 90 DD 72 9D B2A8 DD38 412A 3208 91DB C6BE 7DC3 BDD5 F883 7F9C6D0A C91A152C F7D6352A AF53FD7F 1B8BCFD6 840B3831 ABA4422D 1DEF1694 188A3B80
0 1 47 0A A7 8B D9 20 78 4A 7C 1807 B899 1EBF 61F3 6D0E 8AC1 C63B A835 2D7E 097B80B8 91056A0D 2AF0B1F7 B58858DD ED25DAA7 9B484281 0D83B881 10B8EA47 BFA25139
2 0 E8 99 18 04 76 69 9F 3C 3B 75F1 CC04 870B 085D 1C38 EA7F 4FE7 5E7D 7694 EB8E34DA 32CD91BB FEBA517F DD06BD6D 70862F5E 31B7F1E8 9333F9D4 5F39D9A2 4FAA8EFD
1 1 18 72 F1 AA 4B E3 B5 EC 37 BC36 502E 8D08 7A8C 3FA3 9A56 80F8 DEE5 B270 34D2FE0F CEB0C609 9080EBE2 9A9E586C 3EF67EE9 46DBB5AC 64AAED35 3B59D416 D67600C7
1 0 A1 94 1D A0 E9 6F 4D B1 3F 5769 F9EA 4A19 E25D 3C7B A3FF E3A9 A8A0 9611 47DA0D39 1CBDB137 A16F0BB4 C10163EE A65BF784 7E299172 EB470F24 BD2CC726 5E368E40
0 1 4A A4 07 C6 99 E2 97 EA D4 E569 43F9 851D CC82 AE85 2030 688B F1F6 C1CA A86DE633 826944FF 8FA1514F 622F4170 9BBE3548 805E065A 6648E9E9 EE1BF023 A4B4E2B5
1 2 3E 9D 75 08 72 A1 72 1E 97 BE5D 99C1 E886 2E50 2DA0 A396 EF88 D540 0FE9 67FA4161 2BB05B06 B51EC9CF 8A45A618 F27DE179 C138AB4E 016AB2DE 7FF4D55A 224647A2
1 2 66 A0 0D 22 FA A8 04 93 4E BA1C 5A62 F8D0 DC79 17D3 8F94 9716 F0F6 FDA1 5FA31A2D 1F337E1E EBEB3730 36D2C638 D15A38BF BB5855A3 2F0EBA69 44BC0804 5328AA36
1 1 DA 55 9D 6C D0 0E 65 9D B8 1F96 32CB 14CB AEE6 BA83 1B31 9766 39ED 7A47 964B20AC 82FB6D5E 98A5ECDC E2490B03 955A4DD0 D2A4EB41 1A1FDC8D 66554835 09DF2671
0 1 B0 6C 51 9B 90 AE 1F 4C A1 C129 BF87 CCF8 B930 8E30 9D3B B23F 2A99 31A7 2452AA2F C497D8D4 AC16EA1D 1FC85D2F 199707A9 F27B5062 C0D86078 A221F436 CDE708CD
1 2 1F 21 D6 B1 77 88 39 3B 89 111F 7556 C3DD 4EA8 B1D3 C43F 4E33 DC19 589B 72F59A01 6ACBC4F7 38E82EF4 78B3BECC 74A0159D BD7C0AC0 2A171ECF 35DD5889 C19D44E7
2 0 E8 45 80 DF A6 B6 0C 97 CB F089 0DDD 26ED 84AB ABCC CF67 DF97 5DE7 F680 5A6ADF24 47CC7CE0 04B3AB89 62AA4DE4 844A970E 9E269D4D 88407CE4 6F725CA7 20248DBD
0 0 85 66 99 C4 37 48 0B FC F3 4290 B3D9 9E56 8A31 B817 EE55 CFF6 14FC 93A2 8C83EFF1 3AE78C73 522DB311 E4570B3B 6F7090E2 4F6B530A F2972DC7 3C6332C3 C876B4BE
1 0 72 01 F7 77 33 5A 5F D4 4D C430 D7B9 4FE0 FE35 C87A 7C4C 9134 CA7F 76E7 FE89C6DE F5D1EC4E 872E5467 60F3FC6F D89A3161 2B0E4B13 7F922EF9 1DBF5CB7 F65EF4C4
1 2 9B EA A3 C1 42 0D 81 6C D2 4DC1 45F9 2860 E43E 2CED A8E7 D788 D919 88B5 A708F850 03666DBF 2855560A 031659F3 1E9CB807 F8293A31 16431623 B078DC2B FD8E8FCC
0 0 17 DE 8A DF 32 44 A1 E6 5A B4A7 F097 7236 135F F2F2 AECF 6063 0C7D F779 D3DA615E C5EE58CC 0B3DAB4E 392C182A F97FDED1 12AAE103 A4107B4B F95CD02B 19CCB0DE
1 1 BE EA 68 32 F1 27 95 3E 1A 8948 14FD 65C2 56BA C7A1 55CA 32DE A53F 5463 56FC520C B4470716 7297A3E1 BAA9EEEC 50C3A8C3 4745F7FD C1430DFD 2E64F216 9C753783
0 1 88 ED 93 92 0B D5 B5 B6 7F FD28 228F 7AA2 35DB 1F66 AFF8 31CB 6C12 9C78 B2FC1B80 E03E57AB C257D76B 0468638B C4FB2FF7 383799C9 4C2C9022 8D64F756 AFCFC771
